nombre,rut,curso,seccion,fecha,estado
Sofía González González,10000000-8,1ro Básico,A,2025-03-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-04,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-07,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-03-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-12,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-13,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-14,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-18,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-19,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-20,justificado
Sofía González González,10000000-8,1ro Básico,A,2025-03-21,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-26,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-27,presente
Sofía González González,10000000-8,1ro Básico,A,2025-03-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-01,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-02,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-03,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-04,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-07,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-08,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-09,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-10,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-11,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-14,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-15,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-04-16,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-17,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-21,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-22,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-23,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-24,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-25,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-28,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-29,presente
Sofía González González,10000000-8,1ro Básico,A,2025-04-30,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-02,ausente
Sofía González González,10000000-8,1ro Básico,A,2025-05-05,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-06,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-07,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-08,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-09,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-12,justificado
Sofía González González,10000000-8,1ro Básico,A,2025-05-13,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-14,tardanza
Sofía González González,10000000-8,1ro Básico,A,2025-05-15,presente
Sofía González González,10000000-8,1ro Básico,A,2025-05-16,justificado
Sofía González González,10000000-8,1ro Básico,A,2025-05-19,presente
