nombre,rut,username,curso,seccion,fecha,estado
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-03,late
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-03,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-03,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-03,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-03,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-03,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-03,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-03,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-03,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-03,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-03,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-03,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-03,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-03,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-03,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-03,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-03,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-03,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-03,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-03,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-03,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-03,absent
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-03,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-03,present
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-03,absent
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-03,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-03,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-03,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-03,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-03,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-03,present
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-03,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-03,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-03,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-03,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-03,present
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-03,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-03,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-03,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-03,excused
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-03,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-03,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-03,present
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-03,late
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-03,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-04,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-04,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-04,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-04,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-04,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-04,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-04,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-04,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-04,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-04,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-04,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-04,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-04,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-04,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-04,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-04,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-04,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-04,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-04,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-04,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-04,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-04,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-04,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-04,absent
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-04,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-04,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-04,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-04,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-04,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-04,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-04,present
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-04,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-04,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-04,late
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-04,absent
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-04,late
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-04,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-04,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-04,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-04,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-04,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-04,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-04,present
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-04,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-04,late
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-05,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-05,absent
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-05,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-05,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-05,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-05,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-05,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-05,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-05,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-05,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-05,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-05,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-05,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-05,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-05,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-05,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-05,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-05,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-05,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-05,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-05,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-05,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-05,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-05,present
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-05,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-05,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-05,late
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-05,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-05,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-05,present
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-05,present
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-05,present
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-05,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-05,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-05,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-05,present
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-05,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-05,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-05,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-05,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-05,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-05,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-05,present
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-05,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-05,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-06,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-06,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-06,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-06,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-06,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-06,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-06,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-06,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-06,excused
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-06,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-06,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-06,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-06,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-06,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-06,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-06,present
Florencia González Díaz,10000016-4,f.gonzalez0164,1ro Básico,A,2025-03-06,present
Gabriel González Contreras,10000017-2,g.gonzalez0172,1ro Básico,A,2025-03-06,present
Trinidad González Sepúlveda,10000018-0,t.gonzalez0180,1ro Básico,A,2025-03-06,present
Maximiliano González López,10000019-9,m.gonzalez0199,1ro Básico,A,2025-03-06,present
Antonia González Torres,10000020-2,a.gonzalez0202,1ro Básico,A,2025-03-06,present
Joaquín González Espinoza,10000021-0,j.gonzalez0210,1ro Básico,A,2025-03-06,present
Constanza González Vega,10000022-9,c.gonzalez0229,1ro Básico,A,2025-03-06,present
Felipe González Gutiérrez,10000023-7,f.gonzalez0237,1ro Básico,A,2025-03-06,late
María José González Ramírez,10000024-5,m.gonzalez0245,1ro Básico,A,2025-03-06,present
Sebastián González Cortés,10000025-3,s.gonzalez0253,1ro Básico,A,2025-03-06,present
Fernanda González Figueroa,10000026-1,f.gonzalez0261,1ro Básico,A,2025-03-06,present
Vicente González Jara,10000027-k,v.gonzalez0027,1ro Básico,A,2025-03-06,present
Javiera González Campos,10000028-8,j.gonzalez0288,1ro Básico,A,2025-03-06,present
Cristóbal González Alarcón,10000029-6,c.gonzalez0296,1ro Básico,A,2025-03-06,absent
Maite González González,10000030-k,m.gonzalez0030,1ro Básico,A,2025-03-06,present
Andrés González Díaz,10000031-8,a.gonzalez0318,1ro Básico,A,2025-03-06,late
Ignacia González Contreras,10000032-6,i.gonzalez0326,1ro Básico,A,2025-03-06,present
Manuel González Sepúlveda,10000033-4,m.gonzalez0334,1ro Básico,A,2025-03-06,present
Renata González López,10000034-2,r.gonzalez0342,1ro Básico,A,2025-03-06,present
Mateo González Torres,10000035-0,m.gonzalez0350,1ro Básico,A,2025-03-06,present
Francisca González Espinoza,10000036-9,f.gonzalez0369,1ro Básico,A,2025-03-06,present
Ángel González Vega,10000037-7,á.gonzalez0377,1ro Básico,A,2025-03-06,present
Victoria González Gutiérrez,10000038-5,v.gonzalez0385,1ro Básico,A,2025-03-06,present
Eduardo González Ramírez,10000039-3,e.gonzalez0393,1ro Básico,A,2025-03-06,present
Carolina González Cortés,10000040-7,c.gonzalez0407,1ro Básico,A,2025-03-06,present
Alberto González Figueroa,10000041-5,a.gonzalez0415,1ro Básico,A,2025-03-06,present
Daniela González Jara,10000042-3,d.gonzalez0423,1ro Básico,A,2025-03-06,present
Roberto González Campos,10000043-1,r.gonzalez0431,1ro Básico,A,2025-03-06,present
Gabriela González Alarcón,10000044-k,g.gonzalez0044,1ro Básico,A,2025-03-06,present
Sofía González González,10000000-8,sofia,1ro Básico,A,2025-03-07,present
Matías González Díaz,10000001-6,m.gonzalez0016,1ro Básico,A,2025-03-07,present
Valentina González Contreras,10000002-4,v.gonzalez0024,1ro Básico,A,2025-03-07,present
Benjamín González Sepúlveda,10000003-2,b.gonzalez0032,1ro Básico,A,2025-03-07,present
Martina González López,10000004-0,m.gonzalez0040,1ro Básico,A,2025-03-07,present
Lucas González Torres,10000005-9,l.gonzalez0059,1ro Básico,A,2025-03-07,present
Isidora González Espinoza,10000006-7,i.gonzalez0067,1ro Básico,A,2025-03-07,present
Agustín González Vega,10000007-5,a.gonzalez0075,1ro Básico,A,2025-03-07,present
Emilia González Gutiérrez,10000008-3,e.gonzalez0083,1ro Básico,A,2025-03-07,present
Tomás González Ramírez,10000009-1,t.gonzalez0091,1ro Básico,A,2025-03-07,present
Amanda González Cortés,10000010-5,a.gonzalez0105,1ro Básico,A,2025-03-07,present
Diego González Figueroa,10000011-3,d.gonzalez0113,1ro Básico,A,2025-03-07,present
Catalina González Jara,10000012-1,c.gonzalez0121,1ro Básico,A,2025-03-07,present
Santiago González Campos,10000013-k,s.gonzalez0013,1ro Básico,A,2025-03-07,present
Josefa González Alarcón,10000014-8,j.gonzalez0148,1ro Básico,A,2025-03-07,present
Nicolás González González,10000015-6,n.gonzalez0156,1ro Básico,A,2025-03-07,present
