nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota,tema
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-03-15,prueba,4.4,Números hasta el 20
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-03-20,tarea,4.5,Comprensión Lectora
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-04-10,prueba,5.4,Suma y Resta Básica
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-04-15,tarea,6.8,Los Seres Vivos
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-05-05,prueba,4.7,Las Vocales y Consonantes
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-05-12,tarea,6.0,Figuras Geométricas
Sofía González Martínez,10000000-8,1ro Básico,A,Historia,Prof. Claudia Soto,2025-05-20,tarea,4.3,Mi Familia y Comunidad
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-06-03,prueba,6.5,Lectura de Palabras
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-06-10,prueba,4.5,Números hasta el 50
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-06-18,tarea,4.6,El Cuerpo Humano
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-03-15,prueba,4.0,Números hasta el 20
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-03-20,tarea,4.8,Comprensión Lectora
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-04-10,prueba,5.1,Suma y Resta Básica
Matías López Silva,10000001-6,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-04-15,tarea,6.5,Los Seres Vivos
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-05-05,prueba,6.2,Las Vocales y Consonantes
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-05-12,tarea,5.8,Figuras Geométricas
Matías López Silva,10000001-6,1ro Básico,A,Historia,Prof. Claudia Soto,2025-05-20,tarea,6.0,Mi Familia y Comunidad
Matías López Silva,10000001-6,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-06-03,prueba,5.1,Lectura de Palabras
Matías López Silva,10000001-6,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-06-10,prueba,4.0,Números hasta el 50
Matías López Silva,10000001-6,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-06-18,tarea,5.3,El Cuerpo Humano
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-03-15,prueba,4.9,Números hasta el 20
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-03-20,tarea,4.1,Comprensión Lectora
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-04-10,prueba,6.2,Suma y Resta Básica
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-04-15,tarea,4.5,Los Seres Vivos
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-05-05,prueba,4.5,Las Vocales y Consonantes
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-05-12,tarea,4.7,Figuras Geométricas
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Historia,Prof. Claudia Soto,2025-05-20,tarea,6.6,Mi Familia y Comunidad
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-06-03,prueba,4.9,Lectura de Palabras
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-06-10,prueba,5.9,Números hasta el 50
Valentina Rojas Pérez,10000002-4,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-06-18,tarea,5.1,El Cuerpo Humano
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-03-15,prueba,5.2,Números hasta el 20
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-03-20,tarea,5.2,Comprensión Lectora
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-04-10,prueba,4.7,Suma y Resta Básica
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-04-15,tarea,4.8,Los Seres Vivos
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-05-05,prueba,6.8,Las Vocales y Consonantes
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-05-12,tarea,5.7,Figuras Geométricas
Benjamín Torres Castro,10000003-2,1ro Básico,A,Historia,Prof. Claudia Soto,2025-05-20,tarea,5.0,Mi Familia y Comunidad
Benjamín Torres Castro,10000003-2,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-06-03,prueba,5.2,Lectura de Palabras
Benjamín Torres Castro,10000003-2,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-06-10,prueba,6.3,Números hasta el 50
Benjamín Torres Castro,10000003-2,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-06-18,tarea,4.4,El Cuerpo Humano
Martina Fernández Díaz,10000004-0,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-03-15,prueba,6.8,Números hasta el 20
Martina Fernández Díaz,10000004-0,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-03-20,tarea,6.7,Comprensión Lectora
Martina Fernández Díaz,10000004-0,1ro Básico,A,Matemáticas,Prof. Ana Torres,2025-04-10,prueba,6.0,Suma y Resta Básica
Martina Fernández Díaz,10000004-0,1ro Básico,A,Ciencias,Prof. Roberto Muñoz,2025-04-15,tarea,5.2,Los Seres Vivos
Martina Fernández Díaz,10000004-0,1ro Básico,A,Lenguaje,Prof. Carmen López,2025-05-05,prueba,6.7,Las Vocales y Consonantes
