nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota,tema
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-10,tarea,82,Números del 0 al 10
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-03-20,prueba,89,Números hasta el 20
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-10,tarea,82,Suma sin Reserva
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-04-25,prueba,47,Suma y Resta Básica
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-05-15,tarea,60,Figuras Geométricas
Sofía González Martínez,10000000-8,1ro Básico,A,Matemáticas,Prof. Luis Morales,2025-06-20,prueba,96,Números hasta el 50
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-12,tarea,41,Las Vocales
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-03-25,prueba,75,Comprensión Lectora Inicial
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-04-15,tarea,45,Consonantes M, P, L
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-05,prueba,50,Lectura de Sílabas
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-05-28,tarea,97,Escritura de Palabras
Sofía González Martínez,10000000-8,1ro Básico,A,Lenguaje y Comunicación,Prof. Carmen López,2025-06-25,prueba,50,Lectura de Palabras
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-14,tarea,94,Los Seres Vivos
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-03-28,prueba,40,Animales y Plantas
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-04-18,tarea,72,Partes del Cuerpo Humano
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-05-10,prueba,78,Los Sentidos
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-05,tarea,90,Hábitos Saludables
Sofía González Martínez,10000000-8,1ro Básico,A,Ciencias Naturales,Prof. Ana Torres,2025-06-27,prueba,68,Los Animales y sus Características
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-03-17,tarea,90,Mi Familia
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-05,prueba,79,La Casa y la Familia
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-04-28,tarea,81,Mi Escuela
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-05-20,prueba,78,La Comunidad
Sofía González Martínez,10000000-8,1ro Básico,A,Historia, Geografía y Ciencias Sociales,Prof. Roberto Muñoz,2025-06-10,tarea,73,Oficios y Profesiones
