nombre,rut,curso,seccion,asignatura,tipo,fecha,nota,tema
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,93,Comprensión lectora
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,94,Escritura básica
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,53,Vocales y consonantes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,61,Palabras frecuentes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,77,Textos breves
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,3,Comprensión lectora
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,86,Escritura básica
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,39,Vocales y consonantes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,89,Palabras frecuentes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,44,Textos breves
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,99,Comprensión lectora
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,89,Escritura básica
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,51,Vocales y consonantes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,4,Palabras frecuentes
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,28,Textos breves
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,3,Comprensión lectora
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,24,Escritura básica
