nombre,rut,curso,seccion,asignatura,tipo,fecha,nota
Sofía González González,10000000-8,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-15,85
Matías González Díaz,10000001-6,1ro Básico,A,Matemáticas,tarea,2025-03-18,92
Valentina González Contreras,10000002-4,1ro Básico,A,Ciencias Naturales,evaluacion,2025-03-22,78
Benjamín González Sepúlveda,10000003-2,1ro Básico,A,Historia y Geografía,prueba,2025-04-05,88
Martina González López,10000004-0,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-04-10,95
Lucas González Torres,10000005-9,1ro Básico,A,Matemáticas,prueba,2025-04-15,67
Isidora González Espinoza,10000006-7,1ro Básico,A,Ciencias Naturales,tarea,2025-04-20,90
Agustín González Vega,10000007-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-25,82
Emilia González Gutiérrez,10000008-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-03,77
Tomás González Ramírez,10000009-1,1ro Básico,A,Matemáticas,evaluacion,2025-05-08,94
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-05-12,86
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-05-18,91
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-22,89
Santiago González Campos,10000013-k,1ro Básico,A,Matemáticas,tarea,2025-05-27,73
Josefa González Alarcón,10000014-8,1ro Básico,A,Ciencias Naturales,prueba,2025-06-02,80
Nicolás González González,10000015-6,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-07,87
Florencia González Díaz,10000016-4,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-12,93
Gabriel González Contreras,10000017-2,1ro Básico,A,Matemáticas,prueba,2025-06-18,65
Trinidad González Sepúlveda,10000018-0,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-22,88
Maximiliano González López,10000019-9,1ro Básico,A,Historia y Geografía,tarea,2025-06-28,96
Antonia González Torres,10000020-2,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-03,84
Joaquín González Espinoza,10000021-0,1ro Básico,A,Matemáticas,evaluacion,2025-07-08,79
Constanza González Vega,10000022-9,1ro Básico,A,Ciencias Naturales,tarea,2025-07-15,91
Felipe González Gutiérrez,10000023-7,1ro Básico,A,Historia y Geografía,prueba,2025-07-20,86
María José González Ramírez,10000024-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-07-25,92
Sofía Muñoz González,10000045-8,1ro Básico,B,Matemáticas,prueba,2025-03-16,88
Matías Muñoz Díaz,10000046-6,1ro Básico,B,Lenguaje y Comunicación,tarea,2025-03-19,75
Valentina Muñoz Contreras,10000047-4,1ro Básico,B,Ciencias Naturales,evaluacion,2025-03-24,90
Benjamín Muñoz Sepúlveda,10000048-2,1ro Básico,B,Historia y Geografía,prueba,2025-04-02,82
Martina Muñoz López,10000049-0,1ro Básico,B,Matemáticas,tarea,2025-04-08,94
Lucas Muñoz Torres,10000050-4,1ro Básico,B,Lenguaje y Comunicación,evaluacion,2025-04-14,87
Isidora Muñoz Espinoza,10000051-2,1ro Básico,B,Ciencias Naturales,prueba,2025-04-19,76
Agustín Muñoz Vega,10000052-0,1ro Básico,B,Historia y Geografía,tarea,2025-04-24,89
Emilia Muñoz Gutiérrez,10000053-9,1ro Básico,B,Matemáticas,evaluacion,2025-05-01,93
Tomás Muñoz Ramírez,10000054-7,1ro Básico,B,Lenguaje y Comunicación,prueba,2025-05-06,81
Amanda Muñoz Cortés,10000055-5,1ro Básico,B,Ciencias Naturales,tarea,2025-05-11,85
Diego Muñoz Figueroa,10000056-3,1ro Básico,B,Historia y Geografía,evaluacion,2025-05-16,92
Catalina Muñoz Jara,10000057-1,1ro Básico,B,Matemáticas,prueba,2025-05-21,78
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Lenguaje y Comunicación,tarea,2025-05-26,91
Josefa Muñoz Alarcón,10000059-8,1ro Básico,B,Ciencias Naturales,evaluacion,2025-06-01,86
Sofía Rojas González,10000090-3,2do Básico,A,Historia y Geografía,prueba,2025-03-17,84
Matías Rojas Díaz,10000091-1,2do Básico,A,Matemáticas,tarea,2025-03-21,89
Valentina Rojas Contreras,10000092-k,2do Básico,A,Lenguaje y Comunicación,evaluacion,2025-03-26,95
Benjamín Rojas Sepúlveda,10000093-8,2do Básico,A,Ciencias Naturales,prueba,2025-04-03,77
Martina Rojas López,10000094-6,2do Básico,A,Historia y Geografía,tarea,2025-04-09,91
Lucas Rojas Torres,10000095-4,2do Básico,A,Matemáticas,evaluacion,2025-04-16,83
Isidora Rojas Espinoza,10000096-2,2do Básico,A,Lenguaje y Comunicación,prueba,2025-04-21,88
Agustín Rojas Vega,10000097-0,2do Básico,A,Ciencias Naturales,tarea,2025-04-26,92
Emilia Rojas Gutiérrez,10000098-9,2do Básico,A,Historia y Geografía,evaluacion,2025-05-02,86
Tomás Rojas Ramírez,10000099-7,2do Básico,A,Matemáticas,prueba,2025-05-07,74
Amanda Rojas Cortés,10000100-4,2do Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,90
Diego Rojas Figueroa,10000101-2,2do Básico,A,Ciencias Naturales,evaluacion,2025-05-19,85
Catalina Rojas Jara,10000102-0,2do Básico,A,Historia y Geografía,prueba,2025-05-23,93
Santiago Rojas Campos,10000103-9,2do Básico,A,Matemáticas,tarea,2025-05-28,79
Josefa Rojas Alarcón,10000104-7,2do Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-03,87
Nicolás Rojas González,10000105-5,2do Básico,A,Ciencias Naturales,prueba,2025-06-08,91
Florencia Rojas Díaz,10000106-3,2do Básico,A,Historia y Geografía,tarea,2025-06-13,84
Gabriel Rojas Contreras,10000107-1,2do Básico,A,Matemáticas,evaluacion,2025-06-19,96
Trinidad Rojas Sepúlveda,10000108-k,2do Básico,A,Lenguaje y Comunicación,prueba,2025-06-24,82
Maximiliano Rojas López,10000109-8,2do Básico,A,Ciencias Naturales,tarea,2025-06-29,89
Sebastián González Cortés,10000025-3,1ro Básico,A,Matemáticas,prueba,2025-08-05,71
Fernanda González Figueroa,10000026-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-08-10,94
Vicente González Jara,10000027-k,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-15,87
Javiera González Campos,10000028-8,1ro Básico,A,Historia y Geografía,prueba,2025-08-20,83
Cristóbal González Alarcón,10000029-6,1ro Básico,A,Matemáticas,tarea,2025-08-25,90
Maite González González,10000030-k,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-30,85
Andrés González Díaz,10000031-8,1ro Básico,A,Ciencias Naturales,prueba,2025-09-04,78
Ignacia González Contreras,10000032-6,1ro Básico,A,Historia y Geografía,tarea,2025-09-09,92
Manuel González Sepúlveda,10000033-4,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,88
Renata González López,10000034-2,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-09-19,81
Mateo González Torres,10000035-0,1ro Básico,A,Ciencias Naturales,tarea,2025-09-24,95
Francisca González Espinoza,10000036-9,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-29,86
Ángel González Vega,10000037-7,1ro Básico,A,Matemáticas,prueba,2025-10-04,73
Victoria González Gutiérrez,10000038-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-09,91
Eduardo González Ramírez,10000039-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-10-14,84
Carolina González Cortés,10000040-7,1ro Básico,A,Historia y Geografía,prueba,2025-10-19,89
Alberto González Figueroa,10000041-5,1ro Básico,A,Matemáticas,tarea,2025-10-24,76
Daniela González Jara,10000042-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-10-29,93
Roberto González Campos,10000043-1,1ro Básico,A,Ciencias Naturales,prueba,2025-11-03,87
Gabriela González Alarcón,10000044-k,1ro Básico,A,Historia y Geografía,tarea,2025-11-08,90
Nicolás Muñoz González,10000060-1,1ro Básico,B,Matemáticas,evaluacion,2025-06-06,82
Florencia Muñoz Díaz,10000061-k,1ro Básico,B,Lenguaje y Comunicación,prueba,2025-06-11,88
Gabriel Muñoz Contreras,10000062-8,1ro Básico,B,Ciencias Naturales,tarea,2025-06-16,91
Trinidad Muñoz Sepúlveda,10000063-6,1ro Básico,B,Historia y Geografía,evaluacion,2025-06-21,85
Maximiliano Muñoz López,10000064-4,1ro Básico,B,Matemáticas,prueba,2025-06-26,79
Antonia Muñoz Torres,10000065-2,1ro Básico,B,Lenguaje y Comunicación,tarea,2025-07-01,94
Joaquín Muñoz Espinoza,10000066-0,1ro Básico,B,Ciencias Naturales,evaluacion,2025-07-06,86
Constanza Muñoz Vega,10000067-9,1ro Básico,B,Historia y Geografía,prueba,2025-07-11,92
Felipe Muñoz Gutiérrez,10000068-7,1ro Básico,B,Matemáticas,tarea,2025-07-16,77
María José Muñoz Ramírez,10000069-5,1ro Básico,B,Lenguaje y Comunicación,evaluacion,2025-07-21,89
Sebastián Muñoz Cortés,10000070-9,1ro Básico,B,Ciencias Naturales,prueba,2025-07-26,83
Fernanda Muñoz Figueroa,10000071-7,1ro Básico,B,Historia y Geografía,tarea,2025-08-01,95
Vicente Muñoz Jara,10000072-5,1ro Básico,B,Matemáticas,evaluacion,2025-08-06,81
