nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota
Juan Pérez Gómez,12345678-9,Matemáticas 1A,A,Álgebra,Prof. García,2025-01-15,evaluacion,6.5
María González Silva,98765432-1,Historia 2B,B,Historia Universal,Prof. Rodríguez,2025-01-16,tarea,7.0
Pedro Ramírez Torres,11223344-5,Ciencias 1A,A,Biología,Prof. Martínez,2025-01-17,prueba,5.8
Ana López Muñoz,55667788-9,Lenguaje 2B,B,Literatura,Prof. Fernández,2025-01-18,evaluacion,6.2
Carlos Soto Vargas,99887766-5,Física 3C,C,Mecánica,Prof. Castillo,2025-01-19,prueba,6.9
Sofía Morales Díaz,33445566-7,Química 1A,A,Química Orgánica,Prof. Rojas,2025-01-20,tarea,6.0
Diego Vega Herrera,77889900-1,Inglés 2B,B,Grammar,Prof. Brown,2025-01-21,evaluacion,5.5
Valentina Ruiz Castro,22334455-6,Educación Física 1A,A,Deportes,Prof. Navarro,2025-01-22,tarea,7.0
Mateo Jiménez Ponce,44556677-8,Música 2B,B,Teoría Musical,Prof. Vera,2025-01-23,prueba,6.3
Isidora Campos Muñoz,66778899-0,Arte 3C,C,Pintura,Prof. Contreras,2025-01-24,evaluacion,6.8
