Nombre,RUT,Curso,Sección,Asignatura,Profesor,Fecha,Tipo,Nota
Sebastián Vega Cortés,10000970-6,3ro Medio,B,"Historia, Geografía y Ciencias Sociales",Carlos Herrera Núñez,2025-11-26,evaluacion,72
Lucas Rodríguez Torres,10000500-k,6to Básico,B,Educación Física,Sebastián Silva Morales,2025-11-18,evaluacion,82
Javiera López Campos,10000568-9,7mo Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-09-06,tarea,72
Andrés Vega Díaz,10000976-5,3ro Medio,B,Orientación,Cristóbal Cortés Sandoval,2025-07-05,tarea,96
Agustín Araya Vega,10000727-4,1ro Medio,A,Inglés,Maximiliano Espinoza Molina,2025-10-23,tarea,63
Vicente Silva Jara,10000342-2,4to Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-06-09,prueba,93
Ángel Valenzuela Vega,10000892-0,2do Medio,B,Lenguaje y Comunicación,Sofía Martínez Vega,2025-07-17,tarea,85
Renata Parra López,10001024-0,4to Medio,A,Tecnología,Trinidad Santana Ibarra,2025-12-16,evaluacion,73
Martina Fuentes López,10000589-1,7mo Básico,B,Matemáticas,Pedro Rodríguez Silva,2025-06-10,prueba,70
Florencia Hernández Díaz,10000646-4,8vo Básico,A,Educación Física,Francisco Vargas Jiménez,2025-04-12,evaluacion,73
Josefa Martínez Alarcón,10000374-0,5to Básico,A,Inglés,Maximiliano Espinoza Molina,2025-06-24,tarea,96
María José Valenzuela Ramírez,10000879-3,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Roberto Fernández Castro,2025-07-31,tarea,87
Andrés Flores Díaz,10000796-7,1ro Medio,B,Tecnología,Gabriel Vergara Pacheco,2025-03-02,tarea,60
Maite González González,10000030-k,1ro Básico,A,Ciencias Naturales,Diego Morales Soto,2025-04-23,evaluacion,73
Felipe Valenzuela Gutiérrez,10000878-5,2do Medio,B,Inglés,Maximiliano Espinoza Molina,2025-04-03,tarea,78
Joaquín Castillo Espinoza,10000921-8,3ro Medio,A,Orientación,Constanza Riquelme Carvajal,2025-03-03,evaluacion,76
Mateo Hernández Torres,10000665-0,8vo Básico,A,Inglés,Renata Contreras Vera,2025-04-16,prueba,87
Constanza Parra Vega,10001012-7,4to Medio,A,Tecnología,Samuel Jara Bustos,2025-04-25,evaluacion,78
Amanda Soto Cortés,10000235-3,3ro Básico,B,Orientación,Constanza Riquelme Carvajal,2025-09-01,evaluacion,60
Alberto Silva Figueroa,10000356-2,4to Básico,B,"Historia, Geografía y Ciencias Sociales",Gabriela Sánchez Rojas,2025-10-06,prueba,69
Benjamín Vega Sepúlveda,10000948-k,3ro Medio,B,Tecnología,Samuel Jara Bustos,2025-06-24,evaluacion,88
Sebastián Soto Cortés,10000250-7,3ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-03-22,evaluacion,94
Emilia Morales Gutiérrez,10000458-5,6to Básico,A,Música,Vicente Tapia Iglesias,2025-10-06,evaluacion,73
Diego Castillo Figueroa,10000911-0,3ro Medio,A,Música,Francisca Medina Aros,2025-07-22,tarea,87
María José Sepúlveda Ramírez,10000429-1,5to Básico,B,Matemáticas,María López García,2025-05-19,tarea,86
Victoria Rojas Gutiérrez,10000128-4,2do Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-12-16,tarea,82
Cristóbal Parra Alarcón,10001019-4,4to Medio,A,Ciencias Naturales,Valentina Torres Díaz,2025-04-11,tarea,80
Nicolás Hernández González,10000645-6,8vo Básico,A,"Historia, Geografía y Ciencias Sociales",Carlos Herrera Núñez,2025-06-13,evaluacion,84
Daniela Rodríguez Jara,10000537-9,6to Básico,B,Lenguaje y Comunicación,Carmen López Valenzuela,2025-04-23,evaluacion,89
Santiago Torres Campos,10000688-k,8vo Básico,B,Ciencias Naturales,Diego Morales Soto,2025-10-04,tarea,78
Fernanda Pérez Figueroa,10000206-k,3ro Básico,A,Artes Visuales,Manuel Romero Cortés,2025-04-24,prueba,91
Maximiliano Martínez López,10000379-1,5to Básico,A,Educación Física,Francisco Vargas Jiménez,2025-04-27,evaluacion,69
Tomás Pérez Ramírez,10000189-6,3ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-09-26,prueba,82
Daniela Parra Jara,10001032-1,4to Medio,A,Orientación,Cristóbal Cortés Sandoval,2025-04-27,tarea,78
Martina Espinoza López,10000814-9,2do Medio,A,Orientación,Cristóbal Cortés Sandoval,2025-11-03,evaluacion,68
Nicolás Martínez González,10000375-9,5to Básico,A,Música,Vicente Tapia Iglesias,2025-03-21,evaluacion,62
Emilia Martínez Gutiérrez,10000368-6,5to Básico,A,Orientación,Constanza Riquelme Carvajal,2025-06-23,evaluacion,69
Lucas Rojas Torres,10000095-4,2do Básico,A,Lenguaje y Comunicación,Juan García Torres,2025-07-07,tarea,91
Renata Araya López,10000754-1,1ro Medio,A,Inglés,Joaquín Araya Peña,2025-03-25,tarea,66
Renata Rodríguez López,10000529-8,6to Básico,B,Matemáticas,Pedro Rodríguez Silva,2025-11-15,prueba,72
Victoria Soto Gutiérrez,10000263-9,3ro Básico,B,Orientación,Andrés Poblete Oyarzún,2025-05-10,evaluacion,65
