nombre,rut,curso,seccion,asignatura,profesor,fecha,tipo,nota,tema
Maite González González,10000030-k,1ro Básico,A,Ciencias Naturales,Diego Morales Soto,2025-04-23,evaluacion,5.0,Ciencias Naturales
Victoria Rojas Gutiérrez,10000128-4,2do Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-12-16,tarea,5.7,Orientación
Lucas Rojas Torres,10000095-4,2do Básico,A,Lenguaje y Comunicación,Juan García Torres,2025-07-07,tarea,6.3,Lenguaje y Comunicación
María José Díaz Ramírez,10000159-4,2do Básico,B,Artes Visuales,Isidora Flores Paredes,2025-10-22,tarea,5.6,Artes Visuales
Javiera Muñoz Campos,10000073-3,1ro Básico,B,Lenguaje y Comunicación,Juan García Torres,2025-09-24,evaluacion,5.2,Lenguaje y Comunicación
Antonia Muñoz Torres,10000065-2,1ro Básico,B,Orientación,Andrés Poblete Oyarzún,2025-03-31,tarea,5.0,Orientación
Tomás Muñoz Ramírez,10000054-7,1ro Básico,B,Educación Física,Antonia Castro Campos,2025-03-17,tarea,6.0,Educación Física
Amanda Muñoz Cortés,10000055-5,1ro Básico,B,Educación Física,Francisco Vargas Jiménez,2025-07-02,prueba,6.9,Educación Física
Eduardo Rojas Ramírez,10000129-2,2do Básico,A,Lenguaje y Comunicación,Sofía Martínez Vega,2025-06-16,evaluacion,5.9,Lenguaje y Comunicación
Francisca González Espinoza,10000036-9,1ro Básico,A,Ciencias Naturales,Catalina Reyes Guzmán,2025-12-14,tarea,4.7,Ciencias Naturales
Fernanda Rojas Figueroa,10000116-0,2do Básico,A,Tecnología,Trinidad Santana Ibarra,2025-07-29,tarea,5.0,Tecnología
Maximiliano Muñoz López,10000064-4,1ro Básico,B,Lenguaje y Comunicación,Juan García Torres,2025-08-26,evaluacion,6.0,Lenguaje y Comunicación
Ignacia Díaz Contreras,10000167-5,2do Básico,B,Inglés,Renata Contreras Vera,2025-10-06,tarea,6.4,Inglés
Amanda González Cortés,10000010-5,1ro Básico,A,Orientación,Cristóbal Cortés Sandoval,2025-08-28,evaluacion,6.8,Orientación
Fernanda Muñoz Figueroa,10000071-7,1ro Básico,B,Tecnología,Gabriel Vergara Pacheco,2025-03-20,evaluacion,4.7,Tecnología
Renata Muñoz López,10000079-2,1ro Básico,B,Música,Nicolás Valenzuela Cruz,2025-10-06,tarea,5.2,Música
Lucas Muñoz Torres,10000050-4,1ro Básico,B,Matemáticas,María López García,2025-07-04,evaluacion,4.0,Matemáticas
Victoria González Gutiérrez,10000038-5,1ro Básico,A,Tecnología,Gabriel Vergara Pacheco,2025-05-24,evaluacion,4.8,Tecnología
Santiago Muñoz Campos,10000058-k,1ro Básico,B,Inglés,Renata Contreras Vera,2025-12-14,tarea,6.2,Inglés
