Nombre,RUT,Curso,Sección,Asignatura,Profesor,Fecha,Tipo,Nota
Ana Benitez,10000048-2,1ro Básico,B,Lenguaje y Comunicación,Ana López,01-03-2025,prueba,32
Ana Campos,10000049-0,1ro Básico,B,Lenguaje y Comunicación,Ana López,01-03-2025,prueba,87
Pedro Vera,10000061-K,1ro Básico,B,Lenguaje y Comunicación,Ana López,01-03-2025,prueba,79
Pedro Alvarez,10000069-5,1ro Básico,B,Lenguaje y Comunicación,Ana López,01-03-2025,prueba,82
Carlos Diaz,10000157-8,2do Básico,B,Ciencias Naturales,Carlos Pérez,01-03-2025,tarea,78
Luis Rios,10000412-7,5to Básico,B,Matemáticas,Gustavo Farias,01-03-2025,tarea,95
Luis Munoz,10000416-K,5to Básico,B,Matemáticas,Gustavo Farias,01-03-2025,tarea,94
Luis Mendez,10000423-2,5to Básico,B,Matemáticas,Gustavo Farias,01-03-2025,tarea,68
Luis Carmona,10000445-3,5to Básico,B,Matemáticas,Gustavo Farias,01-03-2025,tarea,94
Luis Sepulveda,10000447-K,5to Básico,B,Matemáticas,Gustavo Farias,01-03-2025,tarea,42
Patricia Diaz,10000857-2,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,94
Patricia Rojas,10000872-6,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,91
Patricia Salinas,10000881-5,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,98
Patricia Valenzuela,10000888-2,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,74
Patricia Sepulveda,10000897-1,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,70
Patricia Benitez,10000898-K,2do Medio,B,"Historia, Geografía y Ciencias Sociales",Juan Lopez,01-03-2025,tarea,66
Esteban Carmona,10000945-5,3ro Medio,B,Física,Jose Perez,01-03-2025,tarea,94
Veronica Fernandez,10000952-8,3ro Medio,B,Física,Jose Perez,01-03-2025,tarea,66
Veronica Diaz,10000957-9,3ro Medio,B,Física,Jose Perez,01-03-2025,tarea,66
Veronica Rodriguez,10000960-9,3ro Medio,B,Física,Jose Perez,01-03-2025,tarea,93
Veronica Arancibia,10000968-4,3ro Medio,B,Física,Jose Perez,01-03-2025,tarea,64
Esteban Carmona,10000945-5,3ro Medio,B,Educación Ciudadana,Marcos Seguel,01-03-2025,prueba,69
Veronica Fernandez,10000952-8,3ro Medio,B,Educación Ciudadana,Marcos Seguel,01-03-2025,prueba,95
Veronica Diaz,10000957-9,3ro Medio,B,Educación Ciudadana,Marcos Seguel,01-03-2025,prueba,86
Veronica Rodriguez,10000960-9,3ro Medio,B,Educación Ciudadana,Marcos Seguel,01-03-2025,prueba,76
Veronica Arancibia,10000968-4,3ro Medio,B,Educación Ciudadana,Marcos Seguel,01-03-2025,prueba,59
Catalina Gomez,10001054-2,4to Medio,B,"Historia, Geografía y Ciencias Sociales",Doris Castro,01-03-2025,prueba,32
Catalina Cortes,10001079-8,4to Medio,B,"Historia, Geografía y Ciencias Sociales",Doris Castro,01-03-2025,prueba,80
Catalina Gomez,10001054-2,4to Medio,B,Filosofía,Maria Labbe,01-03-2025,tarea,57
Catalina Cortes,10001079-8,4to Medio,B,Filosofía,Maria Labbe,01-03-2025,tarea,75
Pedro Molina,10000090-3,2do Básico,A,Lenguaje y Comunicación,Lucía Fernández,02-03-2025,tarea,79
Lucia Perez,10000103-9,2do Básico,A,Lenguaje y Comunicación,Lucía Fernández,02-03-2025,tarea,62
Lucia Ramirez,10000106-3,2do Básico,A,Lenguaje y Comunicación,Lucía Fernández,02-03-2025,tarea,36
Lucia Mendez,10000123-3,2do Básico,A,Lenguaje y Comunicación,Lucía Fernández,02-03-2025,tarea,46
Carlos Tapia,10000193-4,3ro Básico,A,Ciencias Naturales,Sofía Martínez,02-03-2025,prueba,31
Martin Perez,10000203-5,3ro Básico,A,Ciencias Naturales,Sofía Martínez,02-03-2025,prueba,87
Martin Diaz,10000207-8,3ro Básico,A,Ciencias Naturales,Sofía Martínez,02-03-2025,prueba,96
Martin Rodriguez,10000210-8,3ro Básico,A,Ciencias Naturales,Sofía Martínez,02-03-2025,prueba,63
Sofia Rojas,10000272-8,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,78
Sofia Ibarra,10000280-9,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,89
Sofia Aguirre,10000291-4,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,82
Sofia Leiva,10000292-2,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,33
Sofia Sepulveda,10000297-3,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,90
Javier Perez,10000303-1,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,99
Javier Martinez,10000305-8,4to Básico,A,Matemáticas,Javier Ramírez,02-03-2025,evaluacion,59
Mariana Vera,10000361-9,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,65
Mariana Herrera,10000363-5,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,39
Mariana Vargas,10000386-4,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,88
Mariana Cruz,10000387-2,5to Básico,A,Ciencias Naturales,Ruben Alvarez,02-03-2025,evaluacion,92
