role,name,rut,email,username,password,course,section,subjects
student,Sofía González Martínez,10000000-8,sofia.gonzalez10000000@student.cl,s.gonzalez0000,temporal123,1ro Básico,A,
student,Matías López Silva,10000001-6,matias.lopez10000001@student.cl,m.lopez0001,temporal123,1ro Básico,A,
student,Valentina Rojas Pérez,10000002-4,valentina.rojas10000002@student.cl,v.rojas0002,temporal123,1ro Básico,A,
student,Benjamín Torres Castro,10000003-2,benjamin.torres10000003@student.cl,b.torres0003,temporal123,1ro Básico,A,
student,Martina Fernández Díaz,10000004-0,martina.fernandez10000004@student.cl,m.fernandez0004,temporal123,1ro Básico,A,
student,Lucas Muñoz Vargas,10000005-9,lucas.munoz10000005@student.cl,l.munoz0005,temporal123,1ro Básico,A,
student,Isidora Ramírez Soto,10000006-7,isidora.ramirez10000006@student.cl,i.ramirez0006,temporal123,1ro Básico,A,
student,Agustín Contreras Núñez,10000007-5,agustin.contreras10000007@student.cl,a.contreras0007,temporal123,1ro Básico,A,
student,Emilia Sepúlveda Morales,10000008-3,emilia.sepulveda10000008@student.cl,e.sepulveda0008,temporal123,1ro Básico,A,
student,Tomás Gutiérrez Herrera,10000009-1,tomas.gutierrez10000009@student.cl,t.gutierrez0009,temporal123,1ro Básico,A,
student,Amanda Vega Campos,10000010-5,amanda.vega10000010@student.cl,a.vega0010,temporal123,1ro Básico,A,
student,Diego Espinoza Ramos,10000011-3,diego.espinoza10000011@student.cl,d.espinoza0011,temporal123,1ro Básico,A,
student,Catalina Cortés Fuentes,10000012-1,catalina.cortes10000012@student.cl,c.cortes0012,temporal123,1ro Básico,A,
student,Santiago Figueroa Bustos,10000013-k,santiago.figueroa10000013@student.cl,s.figueroa0013,temporal123,1ro Básico,A,
student,Josefa Alarcón Ruiz,10000014-8,josefa.alarcon10000014@student.cl,j.alarcon0014,temporal123,1ro Básico,A,
student,Nicolás Jara Ríos,10000015-6,nicolas.jara10000015@student.cl,n.jara0015,temporal123,1ro Básico,A,
student,Florencia Campos Molina,10000016-4,florencia.campos10000016@student.cl,f.campos0016,temporal123,1ro Básico,A,
student,Gabriel Ponce Álvarez,10000017-2,gabriel.ponce10000017@student.cl,g.ponce0017,temporal123,1ro Básico,A,
student,Trinidad Valdés Sandoval,10000018-0,trinidad.valdes10000018@student.cl,t.valdes0018,temporal123,1ro Básico,A,
student,Maximiliano Bravo Navarro,10000019-9,maximiliano.bravo10000019@student.cl,m.bravo0019,temporal123,1ro Básico,A,
